log_id,user_id,session_id,event_type,page_url,device_type,browser,ip_address,country,timestamp,response_time,status_code
1,1041,S24592,login,/login,mobile,Edge,192.168.71.189,India,2026-01-16 17:34:47,1.82,200
2,1006,S87397,page_view,/home,mobile,Edge,192.168.119.130,India,2026-01-14 02:30:12,1.89,302
3,1035,S64987,page_view,/payment,desktop,Chrome,192.168.81.179,USA,2026-01-09 01:49:17,0.76,200
4,1049,S54118,logout,/profile,mobile,Firefox,192.168.176.155,Singapore,2026-01-19 16:47:02,1.15,200
5,1035,S26361,error,/profile,mobile,Firefox,192.168.185.148,UAE,2026-01-17 08:47:04,5.48,400
6,1050,S47930,error,/product,mobile,Safari,192.168.142.117,Singapore,2026-01-05 00:49:23,3.44,403
7,1018,S99593,search,/search,tablet,Edge,192.168.125.42,USA,2026-01-09 23:13:17,2.18,200
8,1041,S83000,page_view,/checkout,mobile,Edge,192.168.16.207,Singapore,2026-01-10 11:05:17,0.75,200
9,1037,S51245,page_view,/offers,desktop,Safari,192.168.73.68,UAE,2026-01-06 22:41:47,1.6,201
10,1048,S86622,page_view,/payment,desktop,Firefox,192.168.112.36,USA,2026-01-03 09:38:48,2.44,200
11,1010,S92240,logout,/profile,tablet,Chrome,192.168.197.98,USA,2026-01-13 08:58:16,1.46,200
12,1056,S11504,search,/search,tablet,Firefox,192.168.174.29,Singapore,2026-01-11 05:26:10,1.16,200
13,1047,S44522,error,/search,tablet,Chrome,192.168.152.216,UAE,2026-01-04 19:28:23,4.93,401
14,1050,S79514,purchase,/payment,desktop,Safari,192.168.9.29,Singapore,2026-01-21 07:53:53,2.98,201
15,1016,S17592,page_view,/payment,mobile,Chrome,192.168.248.209,India,2026-01-18 15:23:34,0.53,200
16,1031,S82063,logout,/profile,tablet,Safari,192.168.108.238,UAE,2026-01-17 13:21:19,0.72,200
17,1043,S95180,page_view,/support,desktop,Chrome,192.168.126.58,India,2026-01-09 00:38:01,1.64,201
18,1038,S38864,login,/login,mobile,Chrome,192.168.16.221,Singapore,2026-01-02 22:41:32,0.7,200
19,1043,S73624,page_view,/search,tablet,Safari,192.168.124.201,USA,2026-01-19 17:00:26,0.45,200
20,1043,S66498,page_view,/profile,desktop,Chrome,192.168.50.16,USA,2026-01-17 21:42:21,0.85,200
21,1013,S80292,page_view,/profile,mobile,Firefox,192.168.236.64,India,2026-01-11 10:00:51,0.45,201
22,1042,S80855,add_to_cart,/cart,mobile,Edge,192.168.208.125,USA,2026-01-06 04:44:55,1.24,200
23,1004,S31579,page_view,/profile,desktop,Safari,192.168.146.109,USA,2026-01-04 20:32:12,0.77,200
24,1004,S85914,search,/search,tablet,Firefox,192.168.29.13,USA,2026-01-12 18:37:58,1.92,200
25,1011,S17455,error,/login,mobile,Chrome,192.168.34.173,UAE,2026-01-10 12:30:07,3.61,500
26,1039,S15209,page_view,/profile,tablet,Firefox,192.168.133.53,Singapore,2026-01-06 18:21:16,0.54,200
27,1042,S49321,page_view,/login,mobile,Safari,192.168.51.19,UAE,2026-01-12 20:16:16,2.63,200
